date,v,J,substrate,replicate,z,pH_T_avg,H_avg
10/9/2023,0,1,eAE,a,0,8.8899,1.2885
10/9/2023,0,1,eAE,a,100,8.7748,1.6796
10/9/2023,0,1,eAE,a,200,8.7275,1.8728
10/9/2023,0,1,eAE,a,300,8.6784,2.097
10/9/2023,0,1,eAE,a,400,8.6558,2.209
10/9/2023,0,1,eAE,a,500,8.6171,2.4149
10/9/2023,0,1,eAE,a,750,8.5594,2.758
10/9/2023,0,1,eAE,a,1000,8.531,2.9444
10/9/2023,0,1,eAE,a,1250,8.4597,3.4698
10/9/2023,0,1,eAE,a,1500,8.4537,3.518
10/9/2023,0,1,eAE,a,1750,8.4274,3.7377
10/9/2023,0,1,eAE,a,2000,8.4142,3.853
10/9/2023,0,1,eAE,a,2250,8.3924,4.0514
10/9/2023,0,1,eAE,a,2500,8.3562,4.4035
10/9/2023,0,1,eAE,a,2750,8.3196,4.7907
10/9/2023,0,1,eAE,a,3000,8.3059,4.9442
10/9/2023,0,1,eAE,a,3500,8.2882,5.1499
10/9/2023,0,1,eAE,a,4000,8.2866,5.1689
10/9/2023,0,1,eAE,a,4500,8.2508,5.6131
10/9/2023,0,1,eAE,a,5000,8.2222,5.9951
10/9/2023,0,1,eAE,a,5500,8.2068,6.2116
10/9/2023,0,1,eAE,a,6000,8.1883,6.4819
10/9/2023,0,1,eAE,a,6500,8.1673,6.803
10/9/2023,0,1,eAE,a,7000,8.1605,6.9103
10/9/2023,0,1,eAE,a,7500,8.1453,7.1565
10/9/2023,0,1,eAE,a,8000,8.135,7.3282
10/9/2023,0,1,eAE,a,9000,8.1182,7.6173
10/9/2023,0,1,eAE,a,10000,8.1084,7.7911
10/9/2023,0,1,eAE,a,11000,8.0776,8.3637
10/9/2023,0,1,eAE,a,12000,8.0762,8.3907
10/9/2023,0,1,eAE,a,13000,8.0661,8.5882
10/9/2023,0,1,eAE,a,14000,8.0611,8.6876
10/9/2023,0,1,eAE,a,15000,8.053,8.8512
10/9/2023,0,1,eAE,a,17500,8.0491,8.931
10/9/2023,0,1,eAE,a,20000,8.0395,9.1306
10/9/2023,0,1,eAE,a,22500,8.022,9.506
10/9/2023,0,1,eAE,a,25000,8.0207,9.5345
10/9/2023,0,1,eAE,b,0,8.8689,1.3524
10/9/2023,0,1,eAE,b,100,8.7763,1.6738
10/9/2023,0,1,eAE,b,200,8.7075,1.9611
10/9/2023,0,1,eAE,b,300,8.6623,2.1762
10/9/2023,0,1,eAE,b,400,8.6318,2.3345
10/9/2023,0,1,eAE,b,500,8.5906,2.5668
10/9/2023,0,1,eAE,b,750,8.5414,2.8747
10/9/2023,0,1,eAE,b,1000,8.5053,3.1239
10/9/2023,0,1,eAE,b,1250,8.4783,3.3243
10/9/2023,0,1,eAE,b,1500,8.4608,3.461
10/9/2023,0,1,eAE,b,1750,8.4364,3.661
10/9/2023,0,1,eAE,b,2000,8.4155,3.8415
10/9/2023,0,1,eAE,b,2250,8.4012,3.9701
10/9/2023,0,1,eAE,b,2500,8.3739,4.2277
10/9/2023,0,1,eAE,b,2750,8.3121,4.8742
10/9/2023,0,1,eAE,b,3000,8.3016,4.9934
10/9/2023,0,1,eAE,b,3500,8.2841,5.1988
10/9/2023,0,1,eAE,b,4000,8.2749,5.3101
10/9/2023,0,1,eAE,b,4500,8.2493,5.6325
10/9/2023,0,1,eAE,b,5000,8.2233,5.98
10/9/2023,0,1,eAE,b,5500,8.2024,6.2748
10/9/2023,0,1,eAE,b,6000,8.1916,6.4328
10/9/2023,0,1,eAE,b,6500,8.1655,6.8312
10/9/2023,0,1,eAE,b,7000,8.1557,6.9871
10/9/2023,0,1,eAE,b,7500,8.1464,7.1384
10/9/2023,0,1,eAE,b,8000,8.1291,7.4285
10/9/2023,0,1,eAE,b,9000,8.1283,7.4422
10/9/2023,0,1,eAE,b,10000,8.1032,7.885
10/9/2023,0,1,eAE,b,11000,8.0835,8.2509
10/9/2023,0,1,eAE,b,12000,8.082,8.2794
10/9/2023,0,1,eAE,b,13000,8.0666,8.5783
10/9/2023,0,1,eAE,b,14000,8.0617,8.6756
10/9/2023,0,1,eAE,b,15000,8.0515,8.8818
10/9/2023,0,1,eAE,b,17500,8.0452,9.0116
10/9/2023,0,1,eAE,b,20000,8.0351,9.2236
10/9/2023,0,1,eAE,b,22500,8.0222,9.5017
10/9/2023,0,1,eAE,b,25000,8.0193,9.5653
10/9/2023,0,1,eAE,c,0,8.8425,1.4371
10/9/2023,0,1,eAE,c,100,8.7823,1.6508
10/9/2023,0,1,eAE,c,200,8.743,1.8072
10/9/2023,0,1,eAE,c,300,8.6897,2.0431
10/9/2023,0,1,eAE,c,400,8.6692,2.1419
10/9/2023,0,1,eAE,c,500,8.6236,2.379
10/9/2023,0,1,eAE,c,750,8.5678,2.7052
10/9/2023,0,1,eAE,c,1000,8.5294,2.9553
10/9/2023,0,1,eAE,c,1250,8.4505,3.5441
10/9/2023,0,1,eAE,c,1500,8.4465,3.5768
10/9/2023,0,1,eAE,c,1750,8.4237,3.7696
10/9/2023,0,1,eAE,c,2000,8.4042,3.9428
10/9/2023,0,1,eAE,c,2250,8.3772,4.1957
10/9/2023,0,1,eAE,c,2500,8.3507,4.4596
10/9/2023,0,1,eAE,c,2750,8.3104,4.8933
10/9/2023,0,1,eAE,c,3000,8.3057,4.9465
10/9/2023,0,1,eAE,c,3500,8.2919,5.1062
10/9/2023,0,1,eAE,c,4000,8.2679,5.3963
10/9/2023,0,1,eAE,c,4500,8.2475,5.6559
10/9/2023,0,1,eAE,c,5000,8.2083,6.1901
10/9/2023,0,1,eAE,c,5500,8.2093,6.1759
10/9/2023,0,1,eAE,c,6000,8.1791,6.6206
10/9/2023,0,1,eAE,c,6500,8.1707,6.7499
10/9/2023,0,1,eAE,c,7000,8.1576,6.9566
10/9/2023,0,1,eAE,c,7500,8.1353,7.3232
10/9/2023,0,1,eAE,c,8000,8.1303,7.408
10/9/2023,0,1,eAE,c,9000,8.1197,7.591
10/9/2023,0,1,eAE,c,10000,8.1062,7.8307
10/9/2023,0,1,eAE,c,11000,8.0752,8.4101
10/9/2023,0,1,eAE,c,12000,8.0693,8.5251
10/9/2023,0,1,eAE,c,13000,8.0708,8.4957
10/9/2023,0,1,eAE,c,14000,8.0556,8.7983
10/9/2023,0,1,eAE,c,15000,8.0528,8.8552
10/9/2023,0,1,eAE,c,17500,8.041,9.0991
10/9/2023,0,1,eAE,c,20000,8.025,9.4406
10/9/2023,0,1,eAE,c,22500,8.0194,9.5631
10/9/2023,0,1,eAE,c,25000,8.0204,9.5411
10/9/2023,1,1,eAE,a,0,8.8986,1.263
10/9/2023,1,1,eAE,a,100,8.7364,1.8348
10/9/2023,1,1,eAE,a,200,8.6539,2.2187
10/9/2023,1,1,eAE,a,300,8.5213,3.0109
10/9/2023,1,1,eAE,a,400,8.4482,3.5629
10/9/2023,1,1,eAE,a,500,8.3896,4.0776
10/9/2023,1,1,eAE,a,750,8.3617,4.3481
10/9/2023,1,1,eAE,a,1000,8.3265,4.7152
10/9/2023,1,1,eAE,a,1250,8.2946,5.0746
10/9/2023,1,1,eAE,a,1500,8.2805,5.242
10/9/2023,1,1,eAE,a,1750,8.2669,5.4088
10/9/2023,1,1,eAE,a,2000,8.2599,5.4967
10/9/2023,1,1,eAE,a,2250,8.2324,5.856
10/9/2023,1,1,eAE,a,2500,8.223,5.9841
10/9/2023,1,1,eAE,a,2750,8.2167,6.0716
10/9/2023,1,1,eAE,a,3000,8.2257,5.947
10/9/2023,1,1,eAE,a,3500,8.2093,6.1759
10/9/2023,1,1,eAE,a,4000,8.1993,6.3198
10/9/2023,1,1,eAE,a,4500,8.1973,6.3489
10/9/2023,1,1,eAE,a,5000,8.18,6.6069
10/9/2023,1,1,eAE,a,5500,8.1574,6.9599
10/9/2023,1,1,eAE,a,6000,8.1428,7.1978
10/9/2023,1,1,eAE,a,6500,8.1361,7.3097
10/9/2023,1,1,eAE,a,7000,8.109,7.7804
10/9/2023,1,1,eAE,a,7500,8.107,7.8163
10/9/2023,1,1,eAE,a,8000,8.0943,8.0482
10/9/2023,1,1,eAE,a,9000,8.0744,8.4256
10/9/2023,1,1,eAE,a,10000,8.0633,8.6437
10/9/2023,1,1,eAE,a,11000,8.0658,8.5941
10/9/2023,1,1,eAE,a,12000,8.0475,8.964
10/9/2023,1,1,eAE,a,13000,8.0322,9.2854
10/9/2023,1,1,eAE,a,14000,8.0312,9.3068
10/9/2023,1,1,eAE,a,15000,8.0253,9.4341
10/9/2023,1,1,eAE,a,17500,8.0228,9.4886
10/9/2023,1,1,eAE,a,20000,8.0209,9.5302
10/9/2023,1,1,eAE,a,22500,8.0206,9.5367
10/9/2023,1,1,eAE,a,25000,8.0203,9.5433
10/9/2023,1,1,eAE,b,0,8.8496,1.4138
10/9/2023,1,1,eAE,b,100,8.7265,1.8772
10/9/2023,1,1,eAE,b,200,8.6577,2.1994
10/9/2023,1,1,eAE,b,300,8.5504,2.8158
10/9/2023,1,1,eAE,b,400,8.4821,3.2953
10/9/2023,1,1,eAE,b,500,8.3785,4.1831
10/9/2023,1,1,eAE,b,750,8.3314,4.6623
10/9/2023,1,1,eAE,b,1000,8.2817,5.2276
10/9/2023,1,1,eAE,b,1250,8.2355,5.8143
10/9/2023,1,1,eAE,b,1500,8.2225,5.991
10/9/2023,1,1,eAE,b,1750,8.2058,6.2259
10/9/2023,1,1,eAE,b,2000,8.1884,6.4804
10/9/2023,1,1,eAE,b,2250,8.1701,6.7593
10/9/2023,1,1,eAE,b,2500,8.1683,6.7873
10/9/2023,1,1,eAE,b,2750,8.1658,6.8265
10/9/2023,1,1,eAE,b,3000,8.1586,6.9406
10/9/2023,1,1,eAE,b,3500,8.1529,7.0323
10/9/2023,1,1,eAE,b,4000,8.1467,7.1335
10/9/2023,1,1,eAE,b,4500,8.1364,7.3047
10/9/2023,1,1,eAE,b,5000,8.1378,7.2812
10/9/2023,1,1,eAE,b,5500,8.1236,7.5232
10/9/2023,1,1,eAE,b,6000,8.1093,7.775
10/9/2023,1,1,eAE,b,6500,8.0953,8.0297
10/9/2023,1,1,eAE,b,7000,8.0853,8.2167
10/9/2023,1,1,eAE,b,7500,8.08,8.3176
10/9/2023,1,1,eAE,b,8000,8.0675,8.5605
10/9/2023,1,1,eAE,b,9000,8.0542,8.8267
10/9/2023,1,1,eAE,b,10000,8.0428,9.0615
10/9/2023,1,1,eAE,b,11000,8.0345,9.2363
10/9/2023,1,1,eAE,b,12000,8.029,9.3541
10/9/2023,1,1,eAE,b,13000,8.0234,9.4755
10/9/2023,1,1,eAE,b,14000,8.0204,9.5411
10/9/2023,1,1,eAE,b,15000,8.0207,9.5345
10/9/2023,1,1,eAE,b,17500,8.0202,9.5455
10/9/2023,1,1,eAE,b,20000,8.0192,9.5675
10/9/2023,1,1,eAE,b,22500,8.0208,9.5324
10/9/2023,1,1,eAE,b,25000,8.021,9.528
10/9/2023,1,1,eAE,c,0,8.8662,1.3608
10/9/2023,1,1,eAE,c,100,8.7209,1.9015
10/9/2023,1,1,eAE,c,200,8.6761,2.1081
10/9/2023,1,1,eAE,c,300,8.5597,2.7561
10/9/2023,1,1,eAE,c,400,8.4891,3.2426
10/9/2023,1,1,eAE,c,500,8.4233,3.7731
10/9/2023,1,1,eAE,c,750,8.4149,3.8468
10/9/2023,1,1,eAE,c,1000,8.3929,4.0467
10/9/2023,1,1,eAE,c,1250,8.3825,4.1448
10/9/2023,1,1,eAE,c,1500,8.3474,4.4937
10/9/2023,1,1,eAE,c,1750,8.3323,4.6526
10/9/2023,1,1,eAE,c,2000,8.3231,4.7523
10/9/2023,1,1,eAE,c,2250,8.2974,5.042
10/9/2023,1,1,eAE,c,2500,8.2716,5.3506
10/9/2023,1,1,eAE,c,2750,8.2652,5.43
10/9/2023,1,1,eAE,c,3000,8.2529,5.586
10/9/2023,1,1,eAE,c,3500,8.2339,5.8358
10/9/2023,1,1,eAE,c,4000,8.2193,6.0353
10/9/2023,1,1,eAE,c,4500,8.2012,6.2922
10/9/2023,1,1,eAE,c,5000,8.1768,6.6558
10/9/2023,1,1,eAE,c,5500,8.1615,6.8945
10/9/2023,1,1,eAE,c,6000,8.1492,7.0925
10/9/2023,1,1,eAE,c,6500,8.1226,7.5405
10/9/2023,1,1,eAE,c,7000,8.1024,7.8995
10/9/2023,1,1,eAE,c,7500,8.0862,8.1997
10/9/2023,1,1,eAE,c,8000,8.0732,8.4489
10/9/2023,1,1,eAE,c,9000,8.06,8.7096
10/9/2023,1,1,eAE,c,10000,8.0434,9.049
10/9/2023,1,1,eAE,c,11000,8.0313,9.3046
10/9/2023,1,1,eAE,c,12000,8.0271,9.3951
10/9/2023,1,1,eAE,c,13000,8.0205,9.5389
10/9/2023,1,1,eAE,c,14000,8.0194,9.5631
10/9/2023,1,1,eAE,c,15000,8.0204,9.5411
10/9/2023,1,1,eAE,c,17500,8.0204,9.5411
10/9/2023,1,1,eAE,c,20000,8.0219,9.5082
10/9/2023,1,1,eAE,c,22500,8.0193,9.5653
10/9/2023,1,1,eAE,c,25000,8.0206,9.5367
10/9/2023,3,1,eAE,a,0,8.8541,1.3993
10/9/2023,3,1,eAE,a,100,8.7156,1.9249
10/9/2023,3,1,eAE,a,200,8.5652,2.7214
10/9/2023,3,1,eAE,a,300,8.4398,3.6325
10/9/2023,3,1,eAE,a,400,8.3715,4.2511
10/9/2023,3,1,eAE,a,500,8.3125,4.8697
10/9/2023,3,1,eAE,a,750,8.2775,5.2784
10/9/2023,3,1,eAE,a,1000,8.2434,5.7095
10/9/2023,3,1,eAE,a,1250,8.2248,5.9594
10/9/2023,3,1,eAE,a,1500,8.1884,6.4804
10/9/2023,3,1,eAE,a,1750,8.1885,6.4789
10/9/2023,3,1,eAE,a,2000,8.1563,6.9775
10/9/2023,3,1,eAE,a,2250,8.1247,7.5041
10/9/2023,3,1,eAE,a,2500,8.0899,8.1302
10/9/2023,3,1,eAE,a,2750,8.0726,8.4606
10/9/2023,3,1,eAE,a,3000,8.0546,8.8186
10/9/2023,3,1,eAE,a,3500,8.0451,9.0136
10/9/2023,3,1,eAE,a,4000,8.0354,9.2172
10/9/2023,3,1,eAE,a,4500,8.0285,9.3648
10/9/2023,3,1,eAE,a,5000,8.0291,9.3519
10/9/2023,3,1,eAE,a,5500,8.0246,9.4493
10/9/2023,3,1,eAE,a,6000,8.0227,9.4907
10/9/2023,3,1,eAE,a,6500,8.0206,9.5367
10/9/2023,3,1,eAE,a,7000,8.0201,9.5477
10/9/2023,3,1,eAE,a,7500,8.0204,9.5411
10/9/2023,3,1,eAE,a,8000,8.0202,9.5455
10/9/2023,3,1,eAE,a,9000,8.0197,9.5565
10/9/2023,3,1,eAE,a,10000,8.0202,9.5455
10/9/2023,3,1,eAE,a,11000,8.0201,9.5477
10/9/2023,3,1,eAE,a,12000,8.0192,9.5675
10/9/2023,3,1,eAE,a,13000,8.0203,9.5433
10/9/2023,3,1,eAE,a,14000,8.0213,9.5214
10/9/2023,3,1,eAE,a,15000,8.0199,9.5521
10/9/2023,3,1,eAE,a,17500,8.0207,9.5345
10/9/2023,3,1,eAE,a,20000,8.0208,9.5324
10/9/2023,3,1,eAE,a,22500,8.0201,9.5477
10/9/2023,3,1,eAE,a,25000,8.0202,9.5455
10/9/2023,3,1,eAE,b,0,8.8787,1.3222
10/9/2023,3,1,eAE,b,100,8.6557,2.2095
10/9/2023,3,1,eAE,b,200,8.5158,3.0493
10/9/2023,3,1,eAE,b,300,8.4671,3.4111
10/9/2023,3,1,eAE,b,400,8.3815,4.1543
10/9/2023,3,1,eAE,b,500,8.3476,4.4916
10/9/2023,3,1,eAE,b,750,8.3144,4.8484
10/9/2023,3,1,eAE,b,1000,8.3046,4.9591
10/9/2023,3,1,eAE,b,1250,8.2718,5.3481
10/9/2023,3,1,eAE,b,1500,8.2637,5.4488
10/9/2023,3,1,eAE,b,1750,8.2463,5.6715
10/9/2023,3,1,eAE,b,2000,8.2216,6.0034
10/9/2023,3,1,eAE,b,2250,8.2105,6.1589
10/9/2023,3,1,eAE,b,2500,8.1892,6.4684
10/9/2023,3,1,eAE,b,2750,8.1511,7.0615
10/9/2023,3,1,eAE,b,3000,8.134,7.3451
10/9/2023,3,1,eAE,b,3500,8.1072,7.8127
10/9/2023,3,1,eAE,b,4000,8.0878,8.1696
10/9/2023,3,1,eAE,b,4500,8.0582,8.7458
10/9/2023,3,1,eAE,b,5000,8.0496,8.9207
10/9/2023,3,1,eAE,b,5500,8.0399,9.1222
10/9/2023,3,1,eAE,b,6000,8.0309,9.3132
10/9/2023,3,1,eAE,b,6500,8.0231,9.482
10/9/2023,3,1,eAE,b,7000,8.0215,9.517
10/9/2023,3,1,eAE,b,7500,8.0211,9.5258
10/9/2023,3,1,eAE,b,8000,8.0217,9.5126
10/9/2023,3,1,eAE,b,9000,8.0212,9.5236
10/9/2023,3,1,eAE,b,10000,8.0205,9.5389
10/9/2023,3,1,eAE,b,11000,8.0197,9.5565
10/9/2023,3,1,eAE,b,12000,8.0201,9.5477
10/9/2023,3,1,eAE,b,13000,8.0205,9.5389
10/9/2023,3,1,eAE,b,14000,8.0204,9.5411
10/9/2023,3,1,eAE,b,15000,8.0202,9.5455
10/9/2023,3,1,eAE,b,17500,8.0204,9.5411
10/9/2023,3,1,eAE,b,20000,8.0199,9.5521
10/9/2023,3,1,eAE,b,22500,8.0205,9.5389
10/9/2023,3,1,eAE,b,25000,8.0199,9.5521
10/9/2023,3,1,eAE,c,0,8.8596,1.3817
10/9/2023,3,1,eAE,c,100,8.6492,2.2428
10/9/2023,3,1,eAE,c,200,8.4423,3.6116
10/9/2023,3,1,eAE,c,300,8.377,4.1976
10/9/2023,3,1,eAE,c,400,8.3191,4.7962
10/9/2023,3,1,eAE,c,500,8.2881,5.1511
10/9/2023,3,1,eAE,c,750,8.2474,5.6572
10/9/2023,3,1,eAE,c,1000,8.2378,5.7836
10/9/2023,3,1,eAE,c,1250,8.2183,6.0492
10/9/2023,3,1,eAE,c,1500,8.2005,6.3023
10/9/2023,3,1,eAE,c,1750,8.1943,6.3929
10/9/2023,3,1,eAE,c,2000,8.1746,6.6896
10/9/2023,3,1,eAE,c,2250,8.1556,6.9888
10/9/2023,3,1,eAE,c,2500,8.1403,7.2394
10/9/2023,3,1,eAE,c,2750,8.1382,7.2744
10/9/2023,3,1,eAE,c,3000,8.1143,7.686
10/9/2023,3,1,eAE,c,3500,8.0943,8.0482
10/9/2023,3,1,eAE,c,4000,8.0683,8.5448
10/9/2023,3,1,eAE,c,4500,8.0406,9.1075
10/9/2023,3,1,eAE,c,5000,8.0252,9.4363
10/9/2023,3,1,eAE,c,5500,8.0234,9.4755
10/9/2023,3,1,eAE,c,6000,8.0239,9.4646
10/9/2023,3,1,eAE,c,6500,8.0199,9.5521
10/9/2023,3,1,eAE,c,7000,8.0214,9.5192
10/9/2023,3,1,eAE,c,7500,8.0204,9.5411
10/9/2023,3,1,eAE,c,8000,8.0208,9.5324
10/9/2023,3,1,eAE,c,9000,8.0194,9.5631
10/9/2023,3,1,eAE,c,10000,8.0201,9.5477
10/9/2023,3,1,eAE,c,11000,8.0256,9.4276
10/9/2023,3,1,eAE,c,12000,8.0195,9.5609
10/9/2023,3,1,eAE,c,13000,8.0205,9.5389
10/9/2023,3,1,eAE,c,14000,8.0205,9.5389
10/9/2023,3,1,eAE,c,15000,8.0202,9.5455
10/9/2023,3,1,eAE,c,17500,8.0211,9.5258
10/9/2023,3,1,eAE,c,20000,8.0207,9.5345
10/9/2023,3,1,eAE,c,22500,8.0205,9.5389
10/9/2023,3,1,eAE,c,25000,8.0208,9.5324
